city,temperature,windspeed,time,fetched_at
London,14.9,19.6,2025-10-28T14:30,2025-10-28T14:43:23.651818
New York,10.3,22.5,2025-10-28T14:30,2025-10-28T14:43:24.006088
Tokyo,12.6,8.9,2025-10-28T14:30,2025-10-28T14:43:24.392217
