city,temperature,windspeed,time,fetched_at
London,14.9,19.6,2025-10-28T14:30,2025-10-28T14:43:50.544743
New York,10.3,22.5,2025-10-28T14:30,2025-10-28T14:43:50.985053
Tokyo,12.6,8.9,2025-10-28T14:30,2025-10-28T14:43:51.351301
