city,temperature,windspeed,time,fetched_at
London,8.5,13.6,2025-10-25T19:15,2025-10-25T19:25:46.661925
New York,15.0,11.6,2025-10-25T19:15,2025-10-25T19:25:47.021689
Tokyo,13.5,2.5,2025-10-25T19:15,2025-10-25T19:25:48.406208
