city,temperature,windspeed,time,fetched_at
London,14.6,18.9,2025-10-28T14:45,2025-10-28T14:47:54.622063
New York,10.6,23.0,2025-10-28T14:45,2025-10-28T14:47:55.004429
Tokyo,12.6,8.6,2025-10-28T14:45,2025-10-28T14:47:55.411058
